,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
count,9994.0,9994,9994,9994,9994,9994,9994,9994,9994,9994,9994,9994.0,9994,9994,9994,9994,9994,9994.0,9994.0,9994.0,9994.0
unique,,5009,1237,1334,4,793,793,3,1,531,49,,4,1862,3,17,1850,,,,
top,,CA-2017-100111,9/5/2016,12/16/2015,Standard Class,WB-21850,William Brown,Consumer,United States,New York City,California,,West,OFF-PA-10001970,Office Supplies,Binders,Staple envelope,,,,
freq,,14,38,35,5968,37,37,5191,9994,915,2001,,3203,19,6026,1523,48,,,,
mean,4997.5,,,,,,,,,,,55190.3794276566,,,,,,229.85800083049827,3.789573744246548,0.1562027216329798,28.65689630778467
std,2885.1636290974325,,,,,,,,,,,32063.69335036448,,,,,,623.2451005086808,2.2251096911414,0.20645196782571615,234.2601076909573
min,1.0,,,,,,,,,,,1040.0,,,,,,0.444,1.0,0.0,-6599.978
25%,2499.25,,,,,,,,,,,23223.0,,,,,,17.28,2.0,0.0,1.72875
50%,4997.5,,,,,,,,,,,56430.5,,,,,,54.489999999999995,3.0,0.2,8.6665
75%,7495.75,,,,,,,,,,,90008.0,,,,,,209.94,5.0,0.2,29.364
max,9994.0,,,,,,,,,,,99301.0,,,,,,22638.48,14.0,0.8,8399.976
